what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1368163664828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368163672600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1368163684473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368163686441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368163689074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368163710324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368163770269
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368163770736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368163792555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368163825466
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368163855540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368163881311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368163911163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368163933774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368163941867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368163942003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368163942346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368163953376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368163956242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368163957952
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368163958228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368163958671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368163959072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368163969368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368163986806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368164005004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368164014351
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1368164021575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368164030189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368164033820
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1368164037185
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1368164043064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368164044551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368164044742
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1368164075449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1368164130561
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368164131703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368164132352
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368164132815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368164133142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368164133417
