what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1368238257618
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1368238257622
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1368238257623
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1368238257624
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1368238257626
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1368238257627
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1368238257628
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1368238257629
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1368238257632
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1368238257636
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1368238257637
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1368238257638
started,bundle,org.eclipse.m2e.logback.configuration,1.1.0.20120530-0009,"org.eclipse.m2e.logback.configuration",1368238257640
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1368238257643
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1368238257645
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1368238257646
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1368238257646
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1368238257649
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1368238257651
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.ui",1368238257652
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1368238257655
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1368238257657
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1368238257658
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1368238257660
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1368238257661
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1368238257662
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1368238257664
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1368238257666
started,bundle,com.intland.mercurialmylyn,1.1.0.v201210132300,"com.intland.mercurialmylyn",1368238257668
started,bundle,com.vectrace.MercurialEclipse,2.0.0.v201210091230,"com.vectrace.MercurialEclipse",1368238257670
started,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1368238257670
started,bundle,com.android.ide.eclipse.base,21.1.0.v201302060044-569685,"com.android.ide.eclipse.base",1368238257671
started,bundle,org.codebeamer.eclipse.mylyn.core,3.1.1.v201301241540,"org.codebeamer.eclipse.mylyn.core",1368238257672
started,bundle,org.codebeamer.eclipse.mylyn.ui,3.1.1.v201301241540,"org.codebeamer.eclipse.mylyn.ui",1368238257674
os,sysinfo,,,"win32",1368238257681
arch,sysinfo,,,"x86_64",1368238257681
ws,sysinfo,,,"win32",1368238257681
locale,sysinfo,,,"en_US",1368238257681
processors,sysinfo,,,"4",1368238257681
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368238257681
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1368238257681
java.specification.name,sysinfo,,,"Java Platform API Specification",1368238257681
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368238257681
java.specification.version,sysinfo,,,"1.6",1368238257681
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1368238257681
java.version,sysinfo,,,"1.6.0_24",1368238257681
java.vm.info,sysinfo,,,"mixed mode",1368238257681
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1368238257681
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368238257681
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368238257681
java.vm.specification.version,sysinfo,,,"1.0",1368238257681
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1368238257681
java.vm.version,sysinfo,,,"19.1-b02",1368238257681
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1368238259294
error,log,,,"Failed to load properties file for project 'ShelfLifeAndroid'",1368238259615
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1368238259927
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1368238259970
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1368238259978
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1368238259993
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1368238274876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368238282797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368238354928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368238357920
error,log,,,"Failed to load properties file for project 'ShelfLifeAndroid'",1368238359178
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1368238359184
error,log,,,"Failed to load properties file for project 'ShelfLifeAndroid'",1368238367915
error,log,,,"Unhandled event loop exception",1368238367922
error,log,,,"Failed to load properties file for project 'ShelfLifeAndroid'",1368238379713
error,log,,,"Unhandled event loop exception",1368238379716
error,log,,,"Failed to load properties file for project 'ShelfLifeAndroid'",1368238383946
error,log,,,"Unhandled event loop exception",1368238383950
error,log,,,"Failed to load properties file for project 'ShelfLifeAndroid'",1368238384705
error,log,,,"Unhandled event loop exception",1368238384709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368238385529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1368238385551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368238387459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368238414705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368238421061
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1368238430906
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1368238431082
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1368238431442
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1368238432534
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1368238432548
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1368238432655
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1368238432689
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1368238432715
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1368238432747
