what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160412527
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160416403
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1368160416447
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1368160417969
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368160424113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160433220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160448136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368160448559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160454415
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160454555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160458440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160458545
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1368160461243
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1368160465143
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368160465465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368160466087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368160466381
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368160466549
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368160466901
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1368160468740
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160481083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160490474
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1368160490509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160499852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160508613
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1368160519581
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1368160519873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368160524148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368160525097
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1368160525308
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368160527288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368160532397
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368160533738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160540471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160555152
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1368160555989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160557437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160557623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1368160569016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368160570046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160594387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160609989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1368160619935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368160621456
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368160631281
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1368160633843
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1368160636987
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1368160664710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160675794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160703381
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368160703425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368160706987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160767288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160767358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160777323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160777476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368160805487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1368160805663
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1368160808621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160815111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160815274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160819761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368160849464
